-2.03,-24.01,9.93
-2.04,-23.79,10.82
-2.04,-23.79,10.82
-2.04,-23.79,10.82
-2.04,-23.79,10.82
-2.04,-23.79,10.82
-1.94,-23.64,11.55
-1.94,-23.64,11.55
-1.94,-23.64,11.55
-1.94,-23.64,11.55
-1.94,-23.64,11.55
-1.85,-23.51,12.27
-1.85,-23.51,12.27
-1.85,-23.51,12.27
-1.85,-23.51,12.27
-1.85,-23.51,12.27
-1.68,-23.45,12.84
-1.68,-23.45,12.84
-1.68,-23.45,12.84
-1.68,-23.45,12.84
-1.68,-23.45,12.84
-1.37,-23.5,13.18
-1.37,-23.5,13.18
-1.37,-23.5,13.18
-1.37,-23.5,13.18
-1.37,-23.5,13.18
-0.54,-23.9,12.79
-0.54,-23.9,12.79
-0.54,-23.9,12.79
-0.54,-23.9,12.79
-0.54,-23.9,12.79
0.79,-24.49,11.79
0.79,-24.49,11.79
0.79,-24.49,11.79
0.79,-24.49,11.79
0.79,-24.49,11.79
2.22,-24.9,10.8
2.22,-24.9,10.8
2.22,-24.9,10.8
2.22,-24.9,10.8
2.22,-24.9,10.8
3.37,-25.04,10.27
3.37,-25.04,10.27
3.37,-25.04,10.27
3.37,-25.04,10.27
3.37,-25.04,10.27
3.89,-24.94,10.46
3.89,-24.94,10.46
3.89,-24.94,10.46
3.89,-24.94,10.46
3.89,-24.94,10.46
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
3.61,-24.66,11.48
2.8,-23.6,14.69
2.8,-23.6,14.69
2.8,-23.6,14.69
2.8,-23.6,14.69
2.8,-23.6,14.69
2.81,-23.42,15.34
2.81,-23.42,15.34
2.81,-23.42,15.34
2.81,-23.42,15.34
2.81,-23.42,15.34
3.16,-23.58,15.36
3.16,-23.58,15.36
3.16,-23.58,15.36
3.16,-23.58,15.36
3.16,-23.58,15.36
4.23,-24.24,14.22
4.23,-24.24,14.22
4.23,-24.24,14.22
4.23,-24.24,14.22
4.23,-24.24,14.22
5.24,-24.65,13.27
5.24,-24.65,13.27
5.24,-24.65,13.27
5.24,-24.65,13.27
